Date,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29
2020-01-06,0.008903484,0.012598879,0.024911981,0.060357366,0.040305454,0.0388952,0.069544986,0.036707588,0.04557676,0.058162127,0.07360873,0.015057923,0.04141553,0.009807994,0.008520101,0.021065645,0.0065992973,0.008610433,0.053124446,0.028371466,0.038132608,0.039573517,0.020099586,0.04082518,0.08145661,0.07299282,0.008278403,0.018505948,0.0062796553,0.011710311
2020-01-07,0.008903484,0.012598879,0.024911981,0.060357366,0.040305454,0.0388952,0.069544986,0.036707588,0.04557676,0.058162127,0.07360873,0.015057923,0.04141553,0.009807994,0.008520101,0.021065645,0.0065992973,0.008610433,0.053124446,0.028371466,0.038132608,0.039573517,0.020099586,0.04082518,0.08145661,0.07299282,0.008278403,0.018505948,0.0062796553,0.011710311
2020-01-08,0.008903484,0.012598879,0.024911981,0.060357366,0.040305454,0.0388952,0.069544986,0.036707588,0.04557676,0.058162127,0.07360873,0.015057923,0.04141553,0.009807994,0.008520101,0.021065645,0.0065992973,0.008610433,0.053124446,0.028371466,0.038132608,0.039573517,0.020099586,0.04082518,0.08145661,0.07299282,0.008278403,0.018505948,0.0062796553,0.011710311
2020-01-09,0.008903484,0.012598879,0.024911981,0.060357366,0.040305454,0.0388952,0.069544986,0.036707588,0.04557676,0.058162127,0.07360873,0.015057923,0.04141553,0.009807994,0.008520101,0.021065645,0.0065992973,0.008610433,0.053124446,0.028371466,0.038132608,0.039573517,0.020099586,0.04082518,0.08145661,0.07299282,0.008278403,0.018505948,0.0062796553,0.011710311
2020-01-10,0.008903484,0.012598879,0.024911981,0.060357366,0.040305454,0.0388952,0.069544986,0.036707588,0.04557676,0.058162127,0.07360873,0.015057923,0.04141553,0.009807994,0.008520101,0.021065645,0.0065992973,0.008610433,0.053124446,0.028371466,0.038132608,0.039573517,0.020099586,0.04082518,0.08145661,0.07299282,0.008278403,0.018505948,0.0062796553,0.011710311
2020-01-13,0.008903484,0.012598879,0.024911981,0.060357366,0.040305454,0.0388952,0.069544986,0.036707588,0.04557676,0.058162127,0.07360873,0.015057923,0.04141553,0.009807994,0.008520101,0.021065645,0.0065992973,0.008610433,0.053124446,0.028371466,0.038132608,0.039573517,0.020099586,0.04082518,0.08145661,0.07299282,0.008278403,0.018505948,0.0062796553,0.011710311
2020-01-14,0.008903484,0.012598879,0.024911981,0.060357366,0.040305454,0.0388952,0.069544986,0.036707588,0.04557676,0.058162127,0.07360873,0.015057923,0.04141553,0.009807994,0.008520101,0.021065645,0.0065992973,0.008610433,0.053124446,0.028371466,0.038132608,0.039573517,0.020099586,0.04082518,0.08145661,0.07299282,0.008278403,0.018505948,0.0062796553,0.011710311
2020-01-15,0.008903484,0.012598879,0.024911981,0.060357366,0.040305454,0.0388952,0.069544986,0.036707588,0.04557676,0.058162127,0.07360873,0.015057923,0.04141553,0.009807994,0.008520101,0.021065645,0.0065992973,0.008610433,0.053124446,0.028371466,0.038132608,0.039573517,0.020099586,0.04082518,0.08145661,0.07299282,0.008278403,0.018505948,0.0062796553,0.011710311
2020-01-16,0.008903484,0.012598879,0.024911981,0.060357366,0.040305454,0.0388952,0.069544986,0.036707588,0.04557676,0.058162127,0.07360873,0.015057923,0.04141553,0.009807994,0.008520101,0.021065645,0.0065992973,0.008610433,0.053124446,0.028371466,0.038132608,0.039573517,0.020099586,0.04082518,0.08145661,0.07299282,0.008278403,0.018505948,0.0062796553,0.011710311
2020-01-17,0.008903484,0.012598879,0.024911981,0.060357366,0.040305454,0.0388952,0.069544986,0.036707588,0.04557676,0.058162127,0.07360873,0.015057923,0.04141553,0.009807994,0.008520101,0.021065645,0.0065992973,0.008610433,0.053124446,0.028371466,0.038132608,0.039573517,0.020099586,0.04082518,0.08145661,0.07299282,0.008278403,0.018505948,0.0062796553,0.011710311
